name,manufacturer,product,category,weight,unit,price,consumable,product_url,notes
Shaving machine,Philips,OneBlade,Toiletries,182.8,g,70,,https://www.philips.de/c-m-pe/oneblade-trimmen-stylen-und-rasieren,
Casual - long sleeve,,,Clothing,0,g,0,,,
Casual - Short trousers,,,Clothing,0,g,0,,,
Casual - Long trousers,,,Clothing,0,g,0,,,
Swim Shorts,,,Clothing,228,g,26,,,
Hiking Shirt - Long,Uniqlo,,Clothing,208,g,0,,,
Hiking Trousers - zipper,Schoeffel,Folkstone Zip Off,Clothing,305,g,120,,https://www.schoeffel.com/bl/en/schoeffel-pants-folkstone-zip-off-blue-1863-780,
Dry Bag 35L (Bag liner),Sea to Summit,Ultra Sil 35L,Pack,72,g,30,,https://seatosummit.eu/products/ultra-sil-dry-bag?variant=42398589550742,
Hiking Belt,Arcade,Adventure Belt,Clothing,49,g,28,,https://www.amazon.de/-/en/Arcade-Unisex-Adventure-Repreve-Belt/dp/B0B32RG8X6/ref=sr_1_3?crid=L1IIAWBNPEQM&dib=eyJ2IjoiMSJ9.zApe60mXTCDrhKXPjg-MrkLh_n3-8W0AKP8T_qFudpfolq3Z5aIIL_01BA8TNwHyvdea6HCN_c76Qgn4M-JtBM7twLN_ZS_FJf-iNrk-QaBtMVCLx-_lbo_Nk53cPI6DW4avELTOWkVOQa_DmAz0o1GTOCXSKeZTW-6RbOUh8e6KSSp5mLzaGJ-Dx6AFZycVDUuLZNxg9NbH_OsnTRN_bgF40N9YQ2azW24wCf9wKqJQcSOND9lM7Lmkv-nDf5aMyteN_FLPMpP38IsFArHMEiBUowvtq6-YxlO3S5GhkXg._MoQSM3zrxWmxZsSCtk9RVWn_OjvpivlvT_fTCDWVNc&dib_tag=se&keywords=Arcade+Adventure+Belt&qid=1713612881&sprefix=arcade+adventure+belt%2Caps%2C144&sr=8-3,
Ear plugs,Loop,Quiet,Miscellaneous,7,g,20,,https://www.loopearplugs.com/products/quiet,
Backpack 33L,Osprey,Talon 33,Pack,1011,g,150,,https://www.ospreyeurope.com/shop/de_de/osprey-talon-33-2021,
Pot,Sea to Summit,X-Pot,Cookware,250,g,39,,https://seatosummitusa.com/collections/camping-kitchen-pots-pans/products/x-pot,
